#{"t_start": 1766910391.67553, "env_id": "BipedalWalker-v3"}
r,l,t
-115.839944,73,0.632179
-111.226211,1600,0.987754
-101.292652,66,1.004304
-108.725924,1600,1.733965
-111.310517,151,1.76505
-106.497337,97,1.784864
-127.84766,1600,2.434396
-109.996668,49,2.445467
-119.430694,95,2.465966
-120.919074,82,2.483581
-104.553616,87,2.501667
-114.063876,1600,3.151643
-115.904138,1600,3.807805
-104.000145,1600,4.460496
-103.464422,71,4.475712
-108.560577,51,4.487017
-103.762076,1600,4.816962
-121.194683,1600,5.46551
-113.240179,92,5.484063
-118.520409,79,5.501876
-108.525204,1600,6.255734
-111.05871,1600,6.954075
-105.248352,1600,7.607333
-109.935584,1600,7.938963
-106.03954,87,7.957038
-109.224318,52,7.968841
-94.846113,1600,8.61947
-110.054964,131,8.646089
-118.824745,60,8.658793
-103.809545,1600,9.308918
-98.352845,1600,9.961843
-102.619663,1600,10.616304
-85.785601,1600,10.954389
-103.673107,81,10.970906
-117.934386,80,11.301992
-85.720857,1600,11.642501
-87.419175,1600,12.29494
-84.450948,1600,12.942622
-77.547365,1600,13.591229
-124.741553,134,13.61814
-76.195555,1600,13.942575
-76.894331,1600,14.584187
-81.284777,1600,15.228445
-74.202491,1600,15.873612
-74.804128,1600,16.515309
-68.095457,1600,16.840527
-68.22251,1600,17.498529
-67.142029,1600,18.135073
-62.702455,1600,18.765816
-109.559547,50,18.776749
-62.572347,1600,19.414729
-52.473016,1600,19.739358
-146.764404,1367,20.326084
-107.997651,63,20.339618
-142.583188,1422,20.940825
-52.227707,1600,21.260976
-107.948602,81,21.591814
-38.003588,1600,21.916295
-37.573665,1600,22.547904
-132.304462,1368,23.138895
-12.982269,1600,23.7781
-14.837615,1600,24.111601
-32.90132,1600,24.749688
-24.317717,1600,25.383645
-107.841788,79,25.400597
-110.772521,46,25.41098
-9.499943,1600,26.065482
-17.460272,1600,26.697811
-7.022502,1600,27.019768
-107.446053,69,27.034506
-16.387357,1600,27.677362
11.373438,1600,28.316112
19.392926,1600,28.956852
34.337308,1600,29.282527
29.647714,1600,29.924497
39.110584,1600,30.560966
40.276845,1600,31.19457
40.966473,1600,31.832958
-104.908676,265,31.886457
-74.928151,699,32.025342
-99.819309,159,32.057237
58.12409,1600,32.69156
59.019019,1600,33.367942
74.650941,1600,33.704077
-104.114382,56,33.716613
76.160007,1600,34.359396
75.415173,1600,34.997632
-106.95474,69,35.012584
-74.238012,804,35.173605
53.564252,1600,35.808943
-105.039606,50,35.820149
57.117503,1600,36.45644
