#{"t_start": 1766910507.0524642, "env_id": "BipedalWalker-v3"}
r,l,t
-102.190776,46,0.019867
-228.190256,1600,0.437212
-155.302435,1600,1.182152
-138.900532,103,1.209653
-166.516368,1600,1.947523
-114.097982,94,1.971725
-172.45359,1600,2.715734
-105.915673,75,2.736245
-105.860097,52,2.750307
-93.886669,82,2.771478
-160.170389,1600,3.508496
-152.481145,1600,3.92935
-139.480736,1600,4.663261
-106.724486,59,4.679201
-104.495307,1600,5.434264
-119.031966,56,5.449709
-133.475284,158,5.490301
-111.695691,1600,6.228128
-115.312056,1600,6.964168
-98.811194,67,6.982192
-119.896785,64,6.999398
-148.19754,1600,7.733191
-116.76821,57,7.74859
-137.370173,109,7.776546
-113.469099,63,7.793294
-131.276283,88,7.816479
-84.980286,1600,8.23416
-131.92548,96,8.25965
-93.578203,1600,8.995286
-81.691801,1600,9.730533
-126.082164,93,9.753933
-88.279936,1600,10.484769
-94.506151,161,10.527579
-77.7751,1600,11.258585
-80.387913,1600,11.987278
-97.351453,1600,12.392879
-74.644072,1600,13.122513
-43.440543,1600,13.851697
-111.366479,56,13.866481
-100.41712,1600,14.597385
-33.2221,1600,15.005468
-21.896583,1600,15.728593
-42.614954,1600,16.455224
-111.909648,72,16.474367
-27.303294,1600,17.19885
-17.77531,1600,17.923943
-35.286942,1600,18.33206
-11.668807,1600,19.055199
3.476984,1600,19.779211
26.938512,1600,20.509315
33.223119,1600,21.231691
-10.062037,1600,21.638478
40.277117,1600,22.362123
40.611109,1600,23.083636
69.488585,1600,23.806967
76.508046,1600,24.209073
43.538518,1600,24.93725
96.814842,1600,25.660178
66.571251,1600,26.383104
101.047818,1600,27.107924
94.624225,1600,27.515007
107.101403,1600,28.236558
90.564376,1600,28.958743
131.631263,1600,29.679597
121.664369,1600,30.078984
136.795632,1600,30.833379
148.61701,1600,31.557628
120.878533,1600,32.280885
100.884005,1600,33.003237
193.995977,1600,33.409693
169.19442,1600,34.133552
186.983493,1600,34.856957
207.572325,1600,35.574654
175.944654,1600,35.977251
220.719219,1600,36.70004
230.547564,1600,37.424647
24.776034,1006,38.070284
255.36481,1600,38.47657
289.699498,1600,39.200973
9.194183,736,39.387594
244.48013,1600,40.108896
271.064354,1600,40.829536
